sensor	hour	avg_count
Alfred Place	0	31.05299739357081
Alfred Place	1	16.128583840139008
Alfred Place	2	10.187937062937063
Alfred Place	3	7.469049694856147
Alfred Place	4	8.266550522648084
Alfred Place	5	17.52736750651607
Alfred Place	6	70.11728931364031
Alfred Place	7	175.99913043478261
Alfred Place	8	418.18782608695653
Alfred Place	9	389.4486956521739
Alfred Place	10	306.6913043478261
Alfred Place	11	290.2730434782609
Alfred Place	12	674.1904347826087
Alfred Place	13	655.0504347826087
Alfred Place	14	329.7182608695652
Alfred Place	15	248.7808695652174
Alfred Place	16	260.78434782608696
Alfred Place	17	360.8791304347826
Alfred Place	18	268.7591304347826
Alfred Place	19	181.9513043478261
Alfred Place	20	122.92695652173913
Alfred Place	21	113.71391304347826
Alfred Place	22	91.51565217391304
Alfred Place	23	56.37880104257167
Australia on Collins	0	90.202802359882
Australia on Collins	1	53.45427728613569
Australia on Collins	2	34.11834319526627
Australia on Collins	3	25.545722713864308
Australia on Collins	4	19.33407079646018
Australia on Collins	5	28.721238938053098
Australia on Collins	6	82.36061946902655
Australia on Collins	7	302.820796460177
Australia on Collins	8	692.9454277286136
Australia on Collins	9	795.759587020649
Australia on Collins	10	1094.7234513274336
Australia on Collins	11	1417.7079646017698
Australia on Collins	12	2047.1924778761063
Australia on Collins	13	2171.097345132743
Australia on Collins	14	1715.8702064896754
Australia on Collins	15	1541.9402654867256
Australia on Collins	16	1392.5966076696166
Australia on Collins	17	1268.9277286135693
Australia on Collins	18	810.5560471976402
Australia on Collins	19	506.82964601769913
Australia on Collins	20	367.78908554572274
Australia on Collins	21	300.702802359882
Australia on Collins	22	234.44542772861357
Australia on Collins	23	155.77212389380531
Birrarung Marr	0	106.9804605722261
Birrarung Marr	1	49.76064200976971
Birrarung Marr	2	31.96850944716585
Birrarung Marr	3	25.193998604326588
Birrarung Marr	4	21.97208653175157
Birrarung Marr	5	36.01814375436148
Birrarung Marr	6	122.89113747383112
Birrarung Marr	7	300.63852058618284
Birrarung Marr	8	490.47801814375435
Birrarung Marr	9	363.8911374738311
Birrarung Marr	10	442.139470013947
Birrarung Marr	11	518.2412831241284
Birrarung Marr	12	728.8415910676902
Birrarung Marr	13	789.3628750872296
Birrarung Marr	14	659.6336357292394
Birrarung Marr	15	613.8632240055827
Birrarung Marr	16	746.0076762037684
Birrarung Marr	17	981.4891835310538
Birrarung Marr	18	1059.264480111654
Birrarung Marr	19	702.8387997208653
Birrarung Marr	20	414.19050942079554
Birrarung Marr	21	406.7327285415213
Birrarung Marr	22	599.0635031402652
Birrarung Marr	23	328.9441730635031
Bourke St-Russell St (West)	0	385.76372924648786
Bourke St-Russell St (West)	1	302.1596424010217
Bourke St-Russell St (West)	2	228.17552850736706
Bourke St-Russell St (West)	3	195.15836526181354
Bourke St-Russell St (West)	4	134.90676883780333
Bourke St-Russell St (West)	5	87.31800766283524
Bourke St-Russell St (West)	6	103.65134099616859
Bourke St-Russell St (West)	7	146.02171136653897
Bourke St-Russell St (West)	8	257.72541507024266
Bourke St-Russell St (West)	9	294.68263090676885
Bourke St-Russell St (West)	10	420.2273307790549
Bourke St-Russell St (West)	11	605.3812260536398
Bourke St-Russell St (West)	12	1137.1787994891442
Bourke St-Russell St (West)	13	1184.7669220945083
Bourke St-Russell St (West)	14	927.602809706258
Bourke St-Russell St (West)	15	894.4220945083014
Bourke St-Russell St (West)	16	925.227969348659
Bourke St-Russell St (West)	17	1078.7975734355045
Bourke St-Russell St (West)	18	1087.2241379310344
Bourke St-Russell St (West)	19	1026.1532567049808
Bourke St-Russell St (West)	20	909.1181353767561
Bourke St-Russell St (West)	21	779.4629629629629
Bourke St-Russell St (West)	22	660.9897828863346
Bourke St-Russell St (West)	23	509.0083014048531
Bourke Street Mall (North)	0	135.919261822376
Bourke Street Mall (North)	1	85.1078431372549
Bourke Street Mall (North)	2	54.7941006362059
Bourke Street Mall (North)	3	42.885236447520185
Bourke Street Mall (North)	4	30.17185697808535
Bourke Street Mall (North)	5	36.205882352941174
Bourke Street Mall (North)	6	84.09919261822375
Bourke Street Mall (North)	7	249.24163783160324
Bourke Street Mall (North)	8	620.6372549019608
Bourke Street Mall (North)	9	851.5455594002307
Bourke Street Mall (North)	10	1358.8823529411766
Bourke Street Mall (North)	11	1990.212802768166
Bourke Street Mall (North)	12	2992.3033448673586
Bourke Street Mall (North)	13	3296.593425605536
Bourke Street Mall (North)	14	2908.8327566320645
Bourke Street Mall (North)	15	2842.2301038062283
Bourke Street Mall (North)	16	2759.140715109573
Bourke Street Mall (North)	17	2796.2773933102653
Bourke Street Mall (North)	18	2187.4942329873124
Bourke Street Mall (North)	19	1415.0207612456747
Bourke Street Mall (North)	20	940.1020761245675
Bourke Street Mall (North)	21	625.3615916955017
Bourke Street Mall (North)	22	414.7502883506344
Bourke Street Mall (North)	23	244.70011534025375
Bourke Street Mall (South)	0	111.36234263820471
Bourke Street Mall (South)	1	74.53968253968254
Bourke Street Mall (South)	2	50.10098792535675
Bourke Street Mall (South)	3	40.341543513957305
Bourke Street Mall (South)	4	29.933771209633278
Bourke Street Mall (South)	5	30.468527640941435
Bourke Street Mall (South)	6	73.55500821018063
Bourke Street Mall (South)	7	209.0815544608648
Bourke Street Mall (South)	8	499.9720853858785
Bourke Street Mall (South)	9	756.4291187739464
Bourke Street Mall (South)	10	1302.551724137931
Bourke Street Mall (South)	11	1947.3935413245758
Bourke Street Mall (South)	12	2982.4433497536947
Bourke Street Mall (South)	13	3295.191023535851
Bourke Street Mall (South)	14	2819.886699507389
Bourke Street Mall (South)	15	2738.256704980843
Bourke Street Mall (South)	16	2598.224958949097
Bourke Street Mall (South)	17	2318.351943076081
Bourke Street Mall (South)	18	1539.5577449370553
Bourke Street Mall (South)	19	891.0793650793651
Bourke Street Mall (South)	20	629.1669403393541
Bourke Street Mall (South)	21	422.44608648056925
Bourke Street Mall (South)	22	293.37164750957857
Bourke Street Mall (South)	23	186.0591133004926
Chinatown-Lt Bourke St (South)	0	206.30959949141769
Chinatown-Lt Bourke St (South)	1	127.80356007628735
Chinatown-Lt Bourke St (South)	2	82.04591836734694
Chinatown-Lt Bourke St (South)	3	59.472345835982196
Chinatown-Lt Bourke St (South)	4	34.92752701843611
Chinatown-Lt Bourke St (South)	5	19.58677685950413
Chinatown-Lt Bourke St (South)	6	26.06738715829625
Chinatown-Lt Bourke St (South)	7	55.57978385251113
Chinatown-Lt Bourke St (South)	8	114.23394787031151
Chinatown-Lt Bourke St (South)	9	153.07628734901462
Chinatown-Lt Bourke St (South)	10	254.46055979643765
Chinatown-Lt Bourke St (South)	11	406.89885496183206
Chinatown-Lt Bourke St (South)	12	713.2086513994911
Chinatown-Lt Bourke St (South)	13	706.3155216284987
Chinatown-Lt Bourke St (South)	14	527.9834605597964
Chinatown-Lt Bourke St (South)	15	473.93702290076334
Chinatown-Lt Bourke St (South)	16	451.11386768447835
Chinatown-Lt Bourke St (South)	17	583.9357506361323
Chinatown-Lt Bourke St (South)	18	768.1596692111959
Chinatown-Lt Bourke St (South)	19	848.6666666666666
Chinatown-Lt Bourke St (South)	20	738.3746819338422
Chinatown-Lt Bourke St (South)	21	593.6469465648855
Chinatown-Lt Bourke St (South)	22	489.76526717557255
Chinatown-Lt Bourke St (South)	23	330.8727735368957
Chinatown-Swanston St (North)	0	220.86942257217848
Chinatown-Swanston St (North)	1	148.86023622047244
Chinatown-Swanston St (North)	2	83.12705727452271
Chinatown-Swanston St (North)	3	57.33202099737533
Chinatown-Swanston St (North)	4	32.31233595800525
Chinatown-Swanston St (North)	5	23.324146981627297
Chinatown-Swanston St (North)	6	32.21259842519685
Chinatown-Swanston St (North)	7	74.03674540682415
Chinatown-Swanston St (North)	8	174.7801837270341
Chinatown-Swanston St (North)	9	201.91010498687663
Chinatown-Swanston St (North)	10	371.2211286089239
Chinatown-Swanston St (North)	11	629.8503937007874
Chinatown-Swanston St (North)	12	1118.725541694025
Chinatown-Swanston St (North)	13	1201.8680236375574
Chinatown-Swanston St (North)	14	1042.6791338582677
Chinatown-Swanston St (North)	15	972.5971128608924
Chinatown-Swanston St (North)	16	948.2034120734908
Chinatown-Swanston St (North)	17	1079.6345144356956
Chinatown-Swanston St (North)	18	1199.6916010498687
Chinatown-Swanston St (North)	19	1179.1686351706037
Chinatown-Swanston St (North)	20	1022.5800524934383
Chinatown-Swanston St (North)	21	811.8727034120735
Chinatown-Swanston St (North)	22	589.75656167979
Chinatown-Swanston St (North)	23	362.36876640419945
City Square	0	310.48141432456936
City Square	1	183.1613780598368
City Square	2	118.61272727272727
City Square	3	83.99182561307902
City Square	4	60.333333333333336
City Square	5	71.67695099818512
City Square	6	157.95916515426498
City Square	7	443.6152450090744
City Square	8	983.426497277677
City Square	9	841.3820326678766
City Square	10	1005.1306715063521
City Square	11	1328.3738656987296
City Square	12	1865.820326678766
City Square	13	2051.3656987295826
City Square	14	1913.4854809437386
City Square	15	1912.855716878403
City Square	16	2032.885662431942
