"Sensor","Sensor_ID","Longitude","Latitude","Location_Type","Year_Installed"
"Sandridge Bridge",14,144.96291897546,-37.8201124166947,"Outdoor",2009
"Collins Place (North)",18,144.973053538633,-37.8134486106919,"Outdoor",2009
"Birrarung Marr",7,144.971414820121,-37.8183237506589,"Outdoor",2009
"Grattan St-Swanston St (West)",42,144.963864121768,-37.8000856548236,"Outdoor",2015
"Southern Cross Station",9,144.951082845706,-37.8198825259225,"Outdoor",2009
"State Library",15,144.964471322694,-37.8106437830727,"Outdoor",2009
"Flinders St-Spring St (West)",33,144.974540556573,-37.8148325157834,"Outdoor",2014
"Flinders St-Spark La",34,144.974150495806,-37.8153798501116,"Outdoor",2014
"Princes Bridge",5,144.967876562712,-37.8187424894411,"Outdoor",2009
"Flinders St-Swanston St (West)",38,144.96714779185,-37.8170916806555,"Outdoor",2015
"Alfred Place",39,144.970330591529,-37.8138475498556,"Outdoor",2015
"Flinders St-Elizabeth St (East)",22,144.965068228214,-37.8178644478193,"Outdoor",2013
"Bourke Street Mall (North)",1,144.965153237914,-37.8134944036338,"Outdoor",2009
"Lonsdale St (South)",30,144.966568066001,-37.8112184919515,"Outdoor",2014
"Melbourne Convention Exhibition Centre",25,144.955931412038,-37.8240318840833,"Outdoor",2013
"Flinders Street Station Underpass",6,144.965582558609,-37.8191170445268,"Outdoor",2009
"Southbank",35,144.965076422932,-37.8202262044322,"Outdoor",2016
"Waterfront City",11,144.939579299407,-37.8154565643471,"Outdoor",2009
"Spencer St-Collins St (South)",23,144.954527490176,-37.8190925593958,"Outdoor",2013
"Tin Alley-Swanston St (West)",44,144.964353917115,-37.7968227197363,"Outdoor",2015
"Chinatown-Lt Bourke St (South)",20,144.968246601442,-37.811729134669,"Outdoor",2013
"Lonsdale St-Spring St (West)",40,144.972275879457,-37.8099934057793,"Outdoor",2015
"Lygon St (West)",31,144.966589114895,-37.8016968046535,"Outdoor",2014
"Monash Rd-Swanston St (West)",43,144.964117822271,-37.7984452524968,"Outdoor",2015
"Victoria Point",10,144.947105451213,-37.8187647327542,"Outdoor",2009
"Lygon St (East)",37,144.966714517396,-37.8031027095484,"Outdoor",2015
"Town Hall (West)",4,144.966087801437,-37.8148798759503,"Outdoor",2009
"Collins Place (South)",17,144.973235916778,-37.8136254240211,"Outdoor",2009
"St Kilda Rd-Alexandra Gardens",29,144.968634533137,-37.819658083823,"Outdoor",2014
"Spencer St-Collins St (North)",24,144.95449198131,-37.8188796214196,"Outdoor",2013
"QV Market-Peel St",27,144.956630585614,-37.8062043823034,"Outdoor",2013
"QV Market-Elizabeth St (West)",26,144.960494038903,-37.8086954214778,"Outdoor",2013
"Queen St (West)",36,144.961276928328,-37.8164707984673,"Outdoor",2015
"Chinatown-Swanston St (North)",19,144.965506710649,-37.8123720170999,"Outdoor",2013
"The Arts Centre",28,144.968793093492,-37.8212992424763,"Outdoor",2013
"Australia on Collins",16,144.965210438559,-37.8157342252752,"Outdoor",2009
"Flagstaff Station",13,144.956647742336,-37.8123434709568,"Outdoor",2009
"Webb Bridge",8,144.947175106953,-37.8229354263742,"Outdoor",2009
"Bourke St-Russell St (West)",21,144.967730746932,-37.8124803013205,"Outdoor",2013
"Bourke Street Mall (South)",2,144.965167185971,-37.8138066724228,"Outdoor",2009
"Melbourne Central",3,144.964248046779,-37.8110530422788,"Outdoor",2009
"City Square",32,144.966857177706,-37.8157374166874,"Outdoor",2014
"New Quay",12,144.942923981029,-37.8145798719868,"Outdoor",2009
